,装移机情况,全省,南京,无锡,镇江,苏州,南通,扬州,盐城,徐州,淮安,连云港,常州,泰州,宿迁,月份,年份
231,FTTH昨日竣工数合计,6868,1006,1378,309,966,289,345,617,346,190,176,713,286,247,1,2012
232,FTTH昨日竣工数合计,6532,848,1279,299,845,371,307,662,411,185,160,711,241,213,1,2012
233,FTTH昨日竣工数合计,6570,857,1290,351,783,342,348,606,390,259,147,671,228,298,1,2012
234,FTTH昨日竣工数合计,5929,738,926,284,887,297,288,550,346,187,136,791,307,192,1,2012
235,FTTH昨日竣工数合计,3858,390,659,131,609,191,191,341,262,165,118,433,144,224,1,2012
236,FTTH昨日竣工数合计,813,109,134,46,93,48,25,39,58,19,27,99,69,47,1,2012
237,FTTH昨日竣工数合计,102,26,18,3,9,3,0,7,12,3,2,8,0,11,1,2012
238,FTTH昨日竣工数合计,97,18,16,0,27,1,1,3,12,4,0,9,1,5,1,2012
239,FTTH昨日竣工数合计,157,36,29,4,27,3,1,5,20,3,7,11,1,10,1,2012
240,FTTH昨日竣工数合计,499,63,71,5,160,15,11,10,86,2,6,11,21,38,1,2012
241,FTTH昨日竣工数合计,764,103,115,7,202,39,13,23,159,7,10,54,6,26,1,2012
242,FTTH昨日竣工数合计,969,128,212,6,245,40,14,32,138,14,2,71,9,58,1,2012
243,FTTH昨日竣工数合计,2083,299,460,50,491,80,39,101,198,34,49,145,38,99,1,2012
244,FTTH昨日竣工数合计,3673,457,840,63,740,118,103,557,195,77,65,312,51,95,1,2012
247,FTTH昨日竣工数合计,5052,893,1161,103,743,203,222,458,317,119,75,564,74,120,2,2012
248,FTTH昨日竣工数合计,5624,909,1260,162,823,190,281,694,352,74,107,542,73,157,2,2012
249,FTTH昨日竣工数合计,4912,1003,1161,168,802,165,274,229,316,88,81,389,95,141,2,2012
250,FTTH昨日竣工数合计,4400,1037,1040,147,668,143,221,185,273,70,60,417,56,83,2,2012
251,FTTH昨日竣工数合计,4037,916,943,140,558,107,230,164,280,103,76,342,50,128,2,2012
252,FTTH昨日竣工数合计,5152,948,1172,205,982,153,283,225,266,109,88,439,152,130,2,2012
253,FTTH昨日竣工数合计,5155,763,1231,220,902,170,371,212,326,103,92,527,101,137,2,2012
254,FTTH昨日竣工数合计,5241,662,1346,172,916,239,334,254,316,92,102,557,109,142,2,2012
255,FTTH昨日竣工数合计,5104,704,1246,264,870,171,326,187,387,121,70,553,92,113,2,2012
256,FTTH昨日竣工数合计,5167,662,1248,280,902,171,395,189,383,103,137,472,90,135,2,2012
257,FTTH昨日竣工数合计,4122,438,968,155,792,195,316,153,300,69,69,519,84,64,2,2012
258,FTTH昨日竣工数合计,4920,568,1082,212,924,225,368,198,327,126,110,574,75,131,2,2012
259,FTTH昨日竣工数合计,4711,751,1107,188,835,181,335,200,356,113,98,353,83,111,2,2012
260,FTTH昨日竣工数合计,5726,1108,1220,212,931,215,404,326,346,92,148,492,105,127,2,2012
261,FTTH昨日竣工数合计,5981,1095,1365,283,1064,223,391,209,378,110,119,470,150,124,2,2012
262,FTTH昨日竣工数合计,6094,1159,1264,281,1044,199,399,214,400,114,115,534,212,159,2,2012
263,FTTH昨日竣工数合计,5985,1326,1140,232,1080,258,365,211,364,123,133,470,178,105,2,2012
264,FTTH昨日竣工数合计,5503,1455,1023,175,886,253,289,167,296,63,110,426,192,168,2,2012
265,FTTH昨日竣工数合计,5683,1205,1029,237,924,232,370,182,365,111,152,591,158,127,2,2012
